trade_time_paris,t_seconds,t_seconds_jitter,MiFIDPrice,MiFIDQuantity,Venue
2019-10-01 09:00:18.697716+02:00,0.50815,0.50815,85.3,75.0,XPAR
2019-10-01 09:00:18.754287+02:00,0.564721,0.564721,85.3,56.0,XPAR
2019-10-01 09:00:18.824521+02:00,0.634955,0.634955,85.3,179.0,XPAR
2019-10-01 09:00:19.973249+02:00,1.783683,1.783683,85.33,110.0,XPAR
2019-10-01 09:00:19.973330+02:00,1.783764,1.783764,85.33,140.0,XPAR
2019-10-01 09:00:19.973330+02:00,1.783764,1.7837649999999998,85.33,24.0,XPAR
2019-10-01 09:00:19.974003+02:00,1.784437,1.784437,85.32,653.0,XPAR
2019-10-01 09:00:19.974129+02:00,1.784563,1.784563,85.32,47.0,XPAR
2019-10-01 09:00:19.974129+02:00,1.784563,1.7845639999999998,85.32,36.0,XPAR
2019-10-01 09:00:20.019658+02:00,1.830092,1.830092,85.31,159.0,XPAR
2019-10-01 09:00:21.804491+02:00,3.614925,3.614925,85.3,150.0,XPAR
2019-10-01 09:00:24.387550+02:00,6.197984,6.197984,85.29,67.0,XPAR
2019-10-01 09:00:24.387550+02:00,6.197984,6.197985,85.29,137.0,XPAR
2019-10-01 09:00:24.387550+02:00,6.197984,6.197986,85.29,140.0,XPAR
2019-10-01 09:00:24.388301+02:00,6.198735,6.198735,85.28,153.0,XPAR
2019-10-01 09:00:24.388345+02:00,6.198779,6.198779,85.27,153.0,XPAR
2019-10-01 09:00:24.389767+02:00,6.200201,6.200201,85.26,37.0,XPAR
2019-10-01 09:00:24.403873+02:00,6.214307,6.214307,85.27,53.0,XPAR
2019-10-01 09:00:24.404212+02:00,6.214646,6.214646,85.21,50.0,XPAR
2019-10-01 09:00:32.721594+02:00,14.532028,14.532028,85.21,608.0,XPAR
2019-10-01 09:00:32.870620+02:00,14.681054,14.681054,85.27,133.0,XPAR
2019-10-01 09:00:33.757264+02:00,15.567698,15.567698,85.25,31.0,XPAR
2019-10-01 09:00:33.757394+02:00,15.567828,15.567828,85.25,100.0,XPAR
2019-10-01 09:00:33.757394+02:00,15.567828,15.567829,85.25,132.0,XPAR
2019-10-01 09:00:33.757394+02:00,15.567828,15.56783,85.25,86.0,XPAR
2019-10-01 09:00:33.757521+02:00,15.567955,15.567955,85.22,150.0,XPAR
2019-10-01 09:00:34.186614+02:00,15.997048,15.997048,85.24,136.0,XPAR
2019-10-01 09:00:34.186614+02:00,15.997048,15.997048999999999,85.24,141.0,XPAR
2019-10-01 09:00:34.186614+02:00,15.997048,15.99705,85.24,135.0,XPAR
2019-10-01 09:00:34.187174+02:00,15.997608,15.997608,85.21,306.0,XPAR
2019-10-01 09:00:34.187174+02:00,15.997608,15.997608999999999,85.21,94.0,XPAR
2019-10-01 09:00:34.187228+02:00,15.997662,15.997662,85.21,41.0,XPAR
2019-10-01 09:00:34.187273+02:00,15.997707,15.997707,85.2,133.0,XPAR
2019-10-01 09:00:34.187273+02:00,15.997707,15.997708,85.19,150.0,XPAR
2019-10-01 09:00:34.187273+02:00,15.997707,15.997709,85.19,58.0,XPAR
2019-10-01 09:00:34.187867+02:00,15.998301,15.998301,85.17,37.0,XPAR
2019-10-01 09:00:34.187867+02:00,15.998301,15.998301999999999,85.18,13.0,XPAR
2019-10-01 09:00:34.188271+02:00,15.998705,15.998705,85.16,64.0,XPAR
2019-10-01 09:00:34.394734+02:00,16.205168,16.205168,85.18,140.0,XPAR
2019-10-01 09:00:34.496744+02:00,16.307178,16.307178,85.18,178.0,XPAR
2019-10-01 09:00:34.698438+02:00,16.508872,16.508872,85.18,150.0,XPAR
2019-10-01 09:00:34.705282+02:00,16.515716,16.515716,85.18,134.0,XPAR
2019-10-01 09:00:34.961387+02:00,16.771821,16.771821,85.19,150.0,XPAR
2019-10-01 09:00:35.223211+02:00,17.033645,17.033645,85.21,141.0,XPAR
2019-10-01 09:00:35.232141+02:00,17.042575,17.042575,85.2,177.0,XPAR
2019-10-01 09:00:35.232912+02:00,17.043346,17.043346,85.19,150.0,XPAR
2019-10-01 09:00:35.232952+02:00,17.043386,17.043386,85.18,110.0,XPAR
2019-10-01 09:00:35.261116+02:00,17.07155,17.07155,85.2,138.0,XPAR
2019-10-01 09:00:37.862257+02:00,19.672691,19.672691,85.14,85.0,XPAR
2019-10-01 09:00:37.862257+02:00,19.672691,19.672692,85.14,69.0,XPAR
2019-10-01 09:00:37.862257+02:00,19.672691,19.672693,85.14,150.0,XPAR
2019-10-01 09:00:37.862257+02:00,19.672691,19.672694,85.14,176.0,XPAR
2019-10-01 09:00:37.862401+02:00,19.672835,19.672835,85.14,128.0,XPAR
2019-10-01 09:00:37.862401+02:00,19.672835,19.672836,85.14,100.0,XPAR
2019-10-01 09:00:37.863131+02:00,19.673565,19.673565,85.13,316.0,XPAR
2019-10-01 09:00:37.863131+02:00,19.673565,19.673566,85.13,164.0,XPAR
2019-10-01 09:01:34.323849+02:00,76.134283,76.134283,85.31,135.0,XPAR
2019-10-01 09:01:34.323849+02:00,76.134283,76.134284,85.31,139.0,XPAR
2019-10-01 09:01:34.323849+02:00,76.134283,76.13428499999999,85.31,140.0,XPAR
2019-10-01 09:01:34.323849+02:00,76.134283,76.134286,85.31,150.0,XPAR
2019-10-01 09:01:34.325127+02:00,76.135561,76.135561,85.32,110.0,XPAR
2019-10-01 09:01:34.439676+02:00,76.25011,76.25011,85.3,110.0,XPAR
2019-10-01 09:01:34.440317+02:00,76.250751,76.250751,85.29,212.0,XPAR
2019-10-01 09:01:34.506373+02:00,76.316807,76.316807,85.3,134.0,XPAR
2019-10-01 09:01:36.336877+02:00,78.147311,78.147311,85.28,36.0,XPAR
2019-10-01 09:01:36.336877+02:00,78.147311,78.147312,85.27,114.0,XPAR
2019-10-01 09:01:36.337063+02:00,78.147497,78.147497,85.29,125.0,XPAR
2019-10-01 09:01:38.409537+02:00,80.219971,80.219971,85.27,150.0,XPAR
2019-10-01 09:01:38.409537+02:00,80.219971,80.219972,85.26,150.0,XPAR
2019-10-01 09:01:38.409537+02:00,80.219971,80.219973,85.27,100.0,XPAR
2019-10-01 09:01:38.409892+02:00,80.220326,80.220326,85.25,150.0,XPAR
2019-10-01 09:01:38.409892+02:00,80.220326,80.220327,85.25,165.0,XPAR
2019-10-01 09:01:38.409892+02:00,80.220326,80.220328,85.25,101.0,XPAR
2019-10-01 09:01:38.410613+02:00,80.221047,80.221047,85.24,133.0,XPAR
2019-10-01 09:01:38.431370+02:00,80.241804,80.241804,85.24,47.0,XPAR
2019-10-01 09:01:38.431450+02:00,80.241884,80.241884,85.24,22.0,XPAR
2019-10-01 09:01:38.437538+02:00,80.247972,80.247972,85.25,43.0,XPAR
2019-10-01 09:01:38.600383+02:00,80.410817,80.410817,85.23,112.0,XPAR
2019-10-01 09:01:39.649962+02:00,81.460396,81.460396,85.19,35.0,XPAR
2019-10-01 09:02:36.801298+02:00,138.611732,138.611732,85.2,10.0,XPAR
2019-10-01 09:02:36.813674+02:00,138.624108,138.624108,85.2,3.0,XPAR
2019-10-01 09:02:36.813674+02:00,138.624108,138.624109,85.2,4.0,XPAR
2019-10-01 09:02:55.247952+02:00,157.058386,157.058386,85.2,3.0,XPAR
2019-10-01 09:02:55.247952+02:00,157.058386,157.058387,85.2,60.0,XPAR
2019-10-01 09:02:55.248772+02:00,157.059206,157.059206,85.18,150.0,XPAR
2019-10-01 09:02:55.248772+02:00,157.059206,157.059207,85.19,100.0,XPAR
2019-10-01 09:03:09.695449+02:00,171.505883,171.505883,85.18,100.0,XPAR
2019-10-01 09:03:09.695449+02:00,171.505883,171.505884,85.18,150.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781679,85.17,13.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.78168,85.17,6.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781681,85.17,110.0,XPAR
2019-10-01 09:03:22.971245+02:00,184.781679,184.781682,85.17,27.0,XPAR
2019-10-01 09:03:32.966225+02:00,194.776659,194.776659,85.2,100.0,XPAR
2019-10-01 09:03:32.982221+02:00,194.792655,194.792655,85.19,125.0,XPAR
2019-10-01 09:03:42.486550+02:00,204.296984,204.296984,85.19,77.0,XPAR
2019-10-01 09:03:42.486550+02:00,204.296984,204.296985,85.19,39.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831712,85.22,13.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831713,85.22,70.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831714,85.22,170.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831715,85.24,100.0,XPAR
2019-10-01 09:03:55.021278+02:00,216.831712,216.831716,85.23,150.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832281,85.21,39.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832282,85.21,92.0,XPAR
2019-10-01 09:03:55.021847+02:00,216.832281,216.832283,85.22,123.0,XPAR
