bucket,rlop_ask_mean,rlop_bid_mean,vol_bid_mean,vol_ask_mean,spread_mean,imbalance_ob_mean,bid_depth_mean,ask_depth_mean,imb_of,limit_new_bid_count,limit_new_ask_count,cancel_bid_count,cancel_ask_count,trade_count,signed_volume,abs_signed_volume,rlop_ask_mean_lag1,rlop_ask_mean_lag2,rlop_ask_mean_lag5,rlop_bid_mean_lag1,rlop_bid_mean_lag2,rlop_bid_mean_lag5,vol_bid_mean_lag1,vol_bid_mean_lag2,vol_bid_mean_lag5,vol_ask_mean_lag1,vol_ask_mean_lag2,vol_ask_mean_lag5,spread_mean_lag1,spread_mean_lag2,spread_mean_lag5,imbalance_ob_mean_lag1,imbalance_ob_mean_lag2,imbalance_ob_mean_lag5,bid_depth_mean_lag1,bid_depth_mean_lag2,bid_depth_mean_lag5,ask_depth_mean_lag1,ask_depth_mean_lag2,ask_depth_mean_lag5,imb_of_lag1,imb_of_lag2,imb_of_lag5,limit_new_bid_count_lag1,limit_new_bid_count_lag2,limit_new_bid_count_lag5,limit_new_ask_count_lag1,limit_new_ask_count_lag2,limit_new_ask_count_lag5,cancel_bid_count_lag1,cancel_bid_count_lag2,cancel_bid_count_lag5,cancel_ask_count_lag1,cancel_ask_count_lag2,cancel_ask_count_lag5,trade_count_lag1,trade_count_lag2,trade_count_lag5,signed_volume_lag1,signed_volume_lag2,signed_volume_lag5,abs_signed_volume_lag1,abs_signed_volume_lag2,abs_signed_volume_lag5
2019-10-01 07:05:00+00:00,0.3844202898550719,0.1623199999999987,1.3947050517795e-05,1.3521355670760267e-05,0.0403035714285726,0.0162649277573225,180.0767857142857,153.99821428571428,0.1322140608604407,251,218,302,348,76.0,756.0,5718.0,0.4695555555555551,0.5583999999999972,0.2929333333333319,0.1817391304347847,0.0306451612903226,0.2236752136752137,1.067081675753913e-05,1.6142595389660966e-05,3.124067813215044e-05,6.490425610720553e-06,1.3080556899820633e-05,3.03907829354172e-05,0.0546245059288519,0.0594981412639419,0.0729516539440209,-0.0731317175542226,0.0106031904888409,0.1088053812316726,190.1225296442688,206.15985130111525,263.6081424936387,223.9604743083004,177.7527881040892,360.4529262086514,-0.8510028653295129,-0.2571716155007549,-0.0340477482365708,45.0,154.0,215.0,66.0,71.0,144.0,85.0,196.0,213.0,57.0,117.0,138.0,12.0,38.0,245.0,-594.0,-1022.0,-502.0,698.0,3974.0,14744.0
2019-10-01 07:06:00+00:00,0.3560126582278472,0.111904761904763,8.930440361319086e-06,1.0574071955626112e-05,0.0341334894613584,0.0884572451221246,159.81030444964873,142.48829039812645,-0.091873778274225,179,226,227,222,49.0,-329.0,3581.0,0.3844202898550719,0.4695555555555551,0.0955913978494629,0.1623199999999987,0.1817391304347847,0.0731818181818189,1.3947050517795e-05,1.067081675753913e-05,1.391258983733109e-05,1.3521355670760267e-05,6.490425610720553e-06,1.0521447581604967e-05,0.0403035714285726,0.0546245059288519,0.0729487179487166,0.0162649277573225,-0.0731317175542226,0.2080228717238194,180.0767857142857,190.1225296442688,304.87660256410254,153.99821428571428,223.9604743083004,188.42307692307693,0.1322140608604407,-0.8510028653295129,0.1928957528957529,251.0,45.0,177.0,218.0,66.0,124.0,302.0,85.0,184.0,348.0,57.0,139.0,76.0,12.0,49.0,756.0,-594.0,1249.0,5718.0,698.0,6475.0
2019-10-01 07:07:00+00:00,0.302411347517729,0.1016935483870993,7.875157080769883e-06,8.148437096245058e-06,0.0305999999999997,-0.0289344828642497,156.4505882352941,202.9894117647059,0.291044776119403,174,194,222,260,44.0,1170.0,4020.0,0.3560126582278472,0.3844202898550719,0.1642424242424251,0.111904761904763,0.1623199999999987,0.1357575757575767,8.930440361319086e-06,1.3947050517795e-05,5.928936454754546e-06,1.0574071955626112e-05,1.3521355670760267e-05,1.5996882349711616e-05,0.0341334894613584,0.0403035714285726,0.0570707070707055,0.0884572451221246,0.0162649277573225,-0.1859213564993344,159.81030444964873,180.0767857142857,104.95454545454544,142.48829039812645,153.99821428571428,254.520202020202,-0.091873778274225,0.1322140608604407,0.6826923076923077,179.0,251.0,45.0,226.0,218.0,43.0,227.0,302.0,63.0,222.0,348.0,46.0,49.0,76.0,10.0,-329.0,756.0,1420.0,3581.0,5718.0,2080.0
2019-10-01 07:08:00+00:00,0.3453947368421037,0.1318999999999986,1.0048949413964202e-05,8.219859750478015e-06,0.0247470817120631,0.0933882558753353,225.99805447470817,189.99027237354085,-0.1244665718349928,136,107,126,145,37.0,-350.0,2812.0,0.302411347517729,0.3560126582278472,0.5583999999999972,0.1016935483870993,0.111904761904763,0.0306451612903226,7.875157080769883e-06,8.930440361319086e-06,1.6142595389660966e-05,8.148437096245058e-06,1.0574071955626112e-05,1.3080556899820633e-05,0.0305999999999997,0.0341334894613584,0.0594981412639419,-0.0289344828642497,0.0884572451221246,0.0106031904888409,156.4505882352941,159.81030444964873,206.15985130111525,202.9894117647059,142.48829039812645,177.7527881040892,0.291044776119403,-0.091873778274225,-0.2571716155007549,174.0,179.0,154.0,194.0,226.0,71.0,222.0,227.0,196.0,260.0,222.0,117.0,44.0,49.0,38.0,1170.0,-329.0,-1022.0,4020.0,3581.0,3974.0
2019-10-01 07:09:00+00:00,0.1247959183673463,0.1049382716049398,1.304814834998325e-05,9.541453184019236e-06,0.0203482587064682,0.1419209949749111,162.40464344941958,136.8955223880597,-0.1279981002137259,123,156,160,164,54.0,-539.0,4211.0,0.3453947368421037,0.302411347517729,0.4695555555555551,0.1318999999999986,0.1016935483870993,0.1817391304347847,1.0048949413964202e-05,7.875157080769883e-06,1.067081675753913e-05,8.219859750478015e-06,8.148437096245058e-06,6.490425610720553e-06,0.0247470817120631,0.0305999999999997,0.0546245059288519,0.0933882558753353,-0.0289344828642497,-0.0731317175542226,225.99805447470817,156.4505882352941,190.1225296442688,189.99027237354085,202.9894117647059,223.9604743083004,-0.1244665718349928,0.291044776119403,-0.8510028653295129,136.0,174.0,45.0,107.0,194.0,66.0,126.0,222.0,85.0,145.0,260.0,57.0,37.0,44.0,12.0,-350.0,1170.0,-594.0,2812.0,4020.0,698.0
2019-10-01 07:10:00+00:00,0.3330693069306941,0.0771276595744677,5.311418962453861e-06,5.531117187760264e-06,0.02024482109228,-0.212675560204057,93.01694915254237,166.51224105461392,0.0412213740458015,112,138,113,168,33.0,81.0,1965.0,0.1247959183673463,0.3453947368421037,0.3844202898550719,0.1049382716049398,0.1318999999999986,0.1623199999999987,1.304814834998325e-05,1.0048949413964202e-05,1.3947050517795e-05,9.541453184019236e-06,8.219859750478015e-06,1.3521355670760267e-05,0.0203482587064682,0.0247470817120631,0.0403035714285726,0.1419209949749111,0.0933882558753353,0.0162649277573225,162.40464344941958,225.99805447470817,180.0767857142857,136.8955223880597,189.99027237354085,153.99821428571428,-0.1279981002137259,-0.1244665718349928,0.1322140608604407,123.0,136.0,251.0,156.0,107.0,218.0,160.0,126.0,302.0,164.0,145.0,348.0,54.0,37.0,76.0,-539.0,-350.0,756.0,4211.0,2812.0,5718.0
2019-10-01 07:11:00+00:00,0.2479775280898854,0.0658000000000025,4.147103273547563e-06,7.697886767425714e-06,0.0275126050420167,-0.1199011268206495,182.618487394958,269.77142857142854,0.1514657980456026,127,148,139,181,17.0,186.0,1228.0,0.3330693069306941,0.1247959183673463,0.3560126582278472,0.0771276595744677,0.1049382716049398,0.111904761904763,5.311418962453861e-06,1.304814834998325e-05,8.930440361319086e-06,5.531117187760264e-06,9.541453184019236e-06,1.0574071955626112e-05,0.02024482109228,0.0203482587064682,0.0341334894613584,-0.212675560204057,0.1419209949749111,0.0884572451221246,93.01694915254237,162.40464344941958,159.81030444964873,166.51224105461392,136.8955223880597,142.48829039812645,0.0412213740458015,-0.1279981002137259,-0.091873778274225,112.0,123.0,179.0,138.0,156.0,226.0,113.0,160.0,227.0,168.0,164.0,222.0,33.0,54.0,49.0,81.0,-539.0,-329.0,1965.0,4211.0,3581.0
2019-10-01 07:12:00+00:00,0.4372222222222235,0.0719417475728161,8.174642187346191e-06,5.059264038435761e-06,0.0206456953642359,-0.0292404539906619,158.2433774834437,161.4586092715232,-0.2544014084507042,139,132,155,178,32.0,-578.0,2272.0,0.2479775280898854,0.3330693069306941,0.302411347517729,0.0658000000000025,0.0771276595744677,0.1016935483870993,4.147103273547563e-06,5.311418962453861e-06,7.875157080769883e-06,7.697886767425714e-06,5.531117187760264e-06,8.148437096245058e-06,0.0275126050420167,0.02024482109228,0.0305999999999997,-0.1199011268206495,-0.212675560204057,-0.0289344828642497,182.618487394958,93.01694915254237,156.4505882352941,269.77142857142854,166.51224105461392,202.9894117647059,0.1514657980456026,0.0412213740458015,0.291044776119403,127.0,112.0,174.0,148.0,138.0,194.0,139.0,113.0,222.0,181.0,168.0,260.0,17.0,33.0,44.0,186.0,81.0,1170.0,1228.0,1965.0,4020.0
2019-10-01 07:13:00+00:00,0.2936764705882352,0.0645454545454516,5.240353016854264e-06,5.466570449713759e-06,0.0261240310077528,-0.1449503154452197,203.58333333333331,264.6453488372093,-0.2648870636550308,137,99,125,154,15.0,-258.0,974.0,0.4372222222222235,0.2479775280898854,0.3453947368421037,0.0719417475728161,0.0658000000000025,0.1318999999999986,8.174642187346191e-06,4.147103273547563e-06,1.0048949413964202e-05,5.059264038435761e-06,7.697886767425714e-06,8.219859750478015e-06,0.0206456953642359,0.0275126050420167,0.0247470817120631,-0.0292404539906619,-0.1199011268206495,0.0933882558753353,158.2433774834437,182.618487394958,225.99805447470817,161.4586092715232,269.77142857142854,189.99027237354085,-0.2544014084507042,0.1514657980456026,-0.1244665718349928,139.0,127.0,136.0,132.0,148.0,107.0,155.0,139.0,126.0,178.0,181.0,145.0,32.0,17.0,37.0,-578.0,186.0,-350.0,2272.0,1228.0,2812.0
2019-10-01 07:14:00+00:00,0.175555555555555,0.1005468749999976,4.36032866814102e-06,5.721848108278447e-06,0.0241367323290869,-0.1057487067170263,198.82850521436848,226.75086906141368,-0.6737527114967462,163,230,194,273,36.0,-1553.0,2305.0,0.2936764705882352,0.4372222222222235,0.1247959183673463,0.0645454545454516,0.0719417475728161,0.1049382716049398,5.240353016854264e-06,8.174642187346191e-06,1.304814834998325e-05,5.466570449713759e-06,5.059264038435761e-06,9.541453184019236e-06,0.0261240310077528,0.0206456953642359,0.0203482587064682,-0.1449503154452197,-0.0292404539906619,0.1419209949749111,203.58333333333331,158.2433774834437,162.40464344941958,264.6453488372093,161.4586092715232,136.8955223880597,-0.2648870636550308,-0.2544014084507042,-0.1279981002137259,137.0,139.0,123.0,99.0,132.0,156.0,125.0,155.0,160.0,154.0,178.0,164.0,15.0,32.0,54.0,-258.0,-578.0,-539.0,974.0,2272.0,4211.0
