time_paris,vol_mean,count
2019-10-01 09:00:00+02:00,1.9104376970070253e-05,2402
2019-10-01 09:05:00+02:00,1.0904432788881638e-05,3941
2019-10-01 09:10:00+02:00,5.369044578735723e-06,3109
2019-10-01 09:15:00+02:00,7.582738339605538e-06,3892
2019-10-01 09:20:00+02:00,7.826437662769469e-06,3207
2019-10-01 09:25:00+02:00,5.345262239925518e-06,2802
2019-10-01 09:30:00+02:00,4.827863479436491e-06,2739
2019-10-01 09:35:00+02:00,4.1938583124575005e-06,2962
2019-10-01 09:40:00+02:00,5.272904815015471e-06,2107
2019-10-01 09:45:00+02:00,6.286073228936797e-06,2689
2019-10-01 09:50:00+02:00,5.574431976556829e-06,2986
2019-10-01 09:55:00+02:00,6.445364879920825e-06,2870
2019-10-01 10:00:00+02:00,5.284523697264308e-06,3865
2019-10-01 10:05:00+02:00,3.86821241865796e-06,4037
2019-10-01 10:10:00+02:00,3.581481122254863e-06,3170
2019-10-01 10:15:00+02:00,3.2851003147098985e-06,2662
2019-10-01 10:20:00+02:00,2.8908333144294117e-06,2696
2019-10-01 10:25:00+02:00,3.026134849871127e-06,1639
2019-10-01 10:30:00+02:00,4.407000165843319e-06,2844
2019-10-01 10:35:00+02:00,4.281946085833316e-06,2650
2019-10-01 10:40:00+02:00,3.3498191551696406e-06,3069
2019-10-01 10:45:00+02:00,3.9099872432889435e-06,3116
2019-10-01 10:50:00+02:00,3.1233145899260684e-06,3066
2019-10-01 10:55:00+02:00,3.17313158768706e-06,2646
2019-10-01 11:00:00+02:00,3.9558689476078535e-06,2421
2019-10-01 11:05:00+02:00,2.553746746756027e-06,2312
2019-10-01 11:10:00+02:00,3.5959956434822e-06,2692
2019-10-01 11:15:00+02:00,3.973585817063402e-06,3500
2019-10-01 11:20:00+02:00,3.656325395031842e-06,1740
2019-10-01 11:25:00+02:00,4.1098141300560814e-06,3927
2019-10-01 11:30:00+02:00,3.112590105027003e-06,2462
2019-10-01 11:35:00+02:00,2.924225167495538e-06,2339
2019-10-01 11:40:00+02:00,2.6731246803914233e-06,2163
2019-10-01 11:45:00+02:00,3.041321527359363e-06,2135
2019-10-01 11:50:00+02:00,2.312332522381334e-06,1735
2019-10-01 11:55:00+02:00,2.2134268444317617e-06,1918
2019-10-01 12:00:00+02:00,2.240114516570777e-06,2052
2019-10-01 12:05:00+02:00,2.408897012242093e-06,1614
2019-10-01 12:10:00+02:00,1.8423221347948214e-06,1727
2019-10-01 12:15:00+02:00,2.8924019828365312e-06,2566
2019-10-01 12:20:00+02:00,1.9929409328669093e-06,1123
2019-10-01 12:25:00+02:00,2.7590850317490562e-06,1281
2019-10-01 12:30:00+02:00,2.522260845524957e-06,981
2019-10-01 12:35:00+02:00,3.181808923187562e-06,1333
2019-10-01 12:40:00+02:00,1.8637814065870287e-06,1328
2019-10-01 12:45:00+02:00,1.8625057251772324e-06,1519
2019-10-01 12:50:00+02:00,3.0735261920587845e-06,1650
2019-10-01 12:55:00+02:00,2.114482598824317e-06,1786
2019-10-01 13:00:00+02:00,1.9759775094754937e-06,1732
2019-10-01 13:05:00+02:00,6.538097989006616e-07,1083
2019-10-01 13:10:00+02:00,2.6966888717857848e-06,1968
2019-10-01 13:15:00+02:00,2.631249994741557e-06,1837
2019-10-01 13:20:00+02:00,2.593434002672573e-06,1364
2019-10-01 13:25:00+02:00,3.118308507389313e-06,2004
2019-10-01 13:30:00+02:00,2.8805756129556595e-06,1228
2019-10-01 13:35:00+02:00,1.5969921831283198e-06,1550
2019-10-01 13:40:00+02:00,1.5538862939760774e-06,1289
2019-10-01 13:45:00+02:00,2.3379431613106466e-06,1461
2019-10-01 13:50:00+02:00,1.7055690892664895e-06,1450
2019-10-01 13:55:00+02:00,2.782673820923147e-06,1904
2019-10-01 14:00:00+02:00,2.1196415871634394e-06,1777
2019-10-01 14:05:00+02:00,1.3296217722241373e-06,1328
2019-10-01 14:10:00+02:00,1.958682953169113e-06,1744
2019-10-01 14:15:00+02:00,2.199713241974628e-06,2089
2019-10-01 14:20:00+02:00,1.3870393027999695e-06,1359
2019-10-01 14:25:00+02:00,2.4622169528371146e-06,2537
2019-10-01 14:30:00+02:00,1.1457646719186267e-06,1440
2019-10-01 14:35:00+02:00,1.981024282597473e-06,2262
2019-10-01 14:40:00+02:00,3.1660052445500973e-06,2833
2019-10-01 14:45:00+02:00,2.9894397131779143e-06,2489
2019-10-01 14:50:00+02:00,2.6023148272406782e-06,1770
2019-10-01 14:55:00+02:00,1.754625958456093e-06,1279
2019-10-01 15:00:00+02:00,1.443018297403003e-06,1473
2019-10-01 15:05:00+02:00,2.3908547068987253e-06,3212
2019-10-01 15:10:00+02:00,2.2101152675906393e-06,1977
2019-10-01 15:15:00+02:00,2.1822686557582492e-06,1462
2019-10-01 15:20:00+02:00,2.00398451138797e-06,1179
2019-10-01 15:25:00+02:00,2.923855099151436e-06,1738
2019-10-01 15:30:00+02:00,3.0020792393462533e-06,4879
2019-10-01 15:35:00+02:00,2.244866699529627e-06,4584
2019-10-01 15:40:00+02:00,2.4195133448555003e-06,4750
2019-10-01 15:45:00+02:00,2.5176601355614875e-06,4325
2019-10-01 15:50:00+02:00,3.830870441918329e-06,4600
