from,to,type
rlop_ask_mean_lag1,rlop_ask_mean,directed
rlop_bid_mean_lag1,rlop_ask_mean,directed
vol_ask_mean_lag1,rlop_ask_mean,directed
spread_mean_lag1,rlop_ask_mean,directed
rlop_ask_mean_lag1,rlop_bid_mean,directed
rlop_bid_mean_lag1,rlop_bid_mean,directed
rlop_ask_mean_lag1,vol_bid_mean,directed
vol_bid_mean_lag1,vol_bid_mean,directed
vol_ask_mean_lag1,vol_bid_mean,directed
spread_mean_lag1,vol_bid_mean,directed
rlop_ask_mean_lag1,vol_ask_mean,directed
vol_bid_mean_lag1,vol_ask_mean,directed
vol_ask_mean_lag1,vol_ask_mean,directed
spread_mean_lag1,vol_ask_mean,directed
rlop_ask_mean_lag1,spread_mean,directed
vol_bid_mean_lag1,spread_mean,directed
vol_ask_mean_lag1,spread_mean,directed
spread_mean_lag1,spread_mean,directed
imbalance_ob_mean_lag1,imbalance_ob_mean,directed
