lag,xcf,null_lo,null_hi
-10,-0.03047820897117939,-0.20910520334109495,0.2268816679334251
-9,0.0033622453488484365,-0.21460078946030167,0.21999258273625813
-8,0.016655050213359092,-0.19540880121837187,0.24100781764084003
-7,0.018826175871824273,-0.19835251132066442,0.24343435562896848
-6,0.10674980418814603,-0.19404975299237961,0.22835360776933528
-5,0.18669199510955803,-0.22787957195718264,0.2515625398380913
-4,0.19283579881167154,-0.2215987194285567,0.23775671545675
-3,0.17911942855779947,-0.2260377739506946,0.23610870133257184
-2,0.23206614151721602,-0.263656525471895,0.2623847825792492
-1,0.31875851745779,-0.3210666342542397,0.2844936759686862
0,0.5946478025136935,-0.43080125694068083,0.4624043601840302
1,0.41275612235509773,-0.4942501108275788,0.48362379895751906
2,0.2748006321729168,-0.4659091231626494,0.33453666955350825
3,0.3377267064302575,-0.5616818447752743,0.421470470563838
4,0.2822786316986457,-0.5459551570171177,0.39771219484460557
5,0.3588895735759287,-0.4614385543067595,0.40982346859807395
6,0.24239781681373185,-0.4609725130942789,0.40744575373257397
7,0.2699768259551594,-0.454565021898698,0.4692602084571
8,0.3912771002390916,-0.4747106886463442,0.5145638848145339
9,0.12474789301420994,-0.4989973109963461,0.5461691900373105
10,0.200098362086561,-0.4402273090163118,0.5902684427464293
