start_local,end_local,duration_s,book_state,trading_period,phase_qualifier,status_reason,trading_side,order_entry_qualifier,start_ns,end_ns,book_state_raw,status_reason_raw,phase_qualifier_raw,trading_period_raw,trading_side_raw,order_entry_qualifier_raw
2019-10-01 03:01:07.220498026+02:00,2019-10-01 06:30:00.002117461+02:00,12532.781619435,Inaccessible（不可访问）,Opening（开盘段）,No Qualifier（无）,Scheduled（按计划）,,Disabled（禁止下单/撤单/改单）,1569891667220498026,1.5699042000021174e+18,1,0,0,1,,0
2019-10-01 06:30:00.002117461+02:00,2019-10-01 07:15:00.005908181+02:00,2700.00379072,Closed（关闭）,Opening（开盘段）,No Qualifier（无）,Scheduled（按计划）,,Cancel Only（只允许撤单）,1569904200002117461,1.5699069000059082e+18,2,0,0,1,,3
2019-10-01 07:15:00.005908181+02:00,2019-10-01 09:00:18.178966266+02:00,6318.173058085,Call（集合竞价/叫价阶段）,Opening（开盘段）,No Qualifier（无）,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569906900005908181,1.5699132181789663e+18,3,0,0,1,4.0,1
2019-10-01 09:00:18.178966266+02:00,2019-10-01 09:00:18.178966266+02:00,0.0,Uncrossing（撮合/解交叉）,Opening（开盘段）,Random Uncrossing（随机撮合）,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569913218178966266,1.5699132181789663e+18,4,0,3,1,4.0,1
2019-10-01 09:00:18.178966266+02:00,2019-10-01 17:30:00.004867020+02:00,30581.825900754,Continuous（连续交易）,Standard（盘中）,No Qualifier（无）,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569913218178966266,1.569943800004867e+18,5,0,0,2,4.0,1
2019-10-01 17:30:00.004867020+02:00,2019-10-01 17:35:08.245253980+02:00,308.24038696,Call（集合竞价/叫价阶段）,Closing（收盘段）,No Qualifier（无）,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569943800004867020,1.569944108245254e+18,3,0,0,3,4.0,1
2019-10-01 17:35:08.245253980+02:00,2019-10-01 17:35:08.245253980+02:00,0.0,Uncrossing（撮合/解交叉）,Closing（收盘段）,Random Uncrossing（随机撮合）,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569944108245253980,1.569944108245254e+18,4,0,3,3,4.0,1
2019-10-01 17:35:08.245253980+02:00,2019-10-01 17:40:00.005826254+02:00,291.760572274,Continuous（连续交易）,Standard（盘中）,Trading At Last,Scheduled（按计划）,Both Sides（双边）,Enabled（允许下单/撤单/改单）,1569944108245253980,1.5699444000058263e+18,5,0,2,2,4.0,1
2019-10-01 17:40:00.005826254+02:00,2019-10-01 18:00:00.006538133+02:00,1200.000711879,Closed（关闭）,Closing（收盘段）,No Qualifier（无）,Scheduled（按计划）,,Cancel Only（只允许撤单）,1569944400005826254,1.5699456000065382e+18,2,0,0,3,,3
2019-10-01 18:00:00.006538133+02:00,,,Inaccessible（不可访问）,Closing（收盘段）,No Qualifier（无）,Scheduled（按计划）,,Disabled（禁止下单/撤单/改单）,1569945600006538133,,1,0,0,3,,0
